table,field,id,name,,url,url_converted,final_url,final_url_converted,converted_urls_identical,is_hero,is_hero_norm,caption,http_code,status,credit
Waterway,imageUrl,atikokan-river-waterway,Atikokan River,,"https://commons.wikimedia.org/wiki/Special:FilePath/Little%20Falls,%20Atikokan,%20Ontario.jpg",,"https://commons.wikimedia.org/wiki/Special:FilePath/Little%20Falls,%20Atikokan,%20Ontario.jpg",,,TRUE,TRUE,"Little Falls, Atikokan, Ontario",200,VERIFIED_COMMONS_PAGE,Wikimedia Commons / Own work on Commons / Wikimedia Commons (free-license or public-domain file; see file page)
Waterway,galleryImages,atikokan-river-waterway,Atikokan River,,"https://commons.wikimedia.org/wiki/Special:FilePath/April%20Snowstorm%202012%20-%20Atikokan,%20ON.JPG",,"https://commons.wikimedia.org/wiki/Special:FilePath/April%20Snowstorm%202012%20-%20Atikokan,%20ON.JPG",,,FALSE,FALSE,"April Snowstorm 2012 - Atikokan, ON",200,VERIFIED_COMMONS_PAGE,Wikimedia Commons / Own work on Commons / Wikimedia Commons (free-license or public-domain file; see file page)
Waterway,galleryImages,atikokan-river-waterway,Atikokan River,,https://commons.wikimedia.org/wiki/Special:FilePath/Little%20Falls%20Waterfall%20.jpg,,https://commons.wikimedia.org/wiki/Special:FilePath/Little%20Falls%20Waterfall%20.jpg,,,FALSE,FALSE,Little Falls Waterfall,200,VERIFIED_COMMONS_PAGE,Wikimedia Commons / Own work on Commons / Wikimedia Commons (free-license or public-domain file; see file page)
Waterway,galleryImages,atikokan-river-waterway,Atikokan River,,"https://commons.wikimedia.org/wiki/Special:FilePath/Steep%20Rock%20Mine,%20Atikokan%20(I0005562).tif",,"https://commons.wikimedia.org/wiki/Special:FilePath/Steep%20Rock%20Mine,%20Atikokan%20(I0005562).tif",,,FALSE,FALSE,High-resolution historical Atikokan-area image used because exact river-specific coverage is limited,200,VERIFIED_COMMONS_SEARCH,Wikimedia Commons / Historical archive via Commons / Wikimedia Commons (free-license or public-domain file; see file page)
Waterway,imageUrl,back-river-waterway,Back River,,https://commons.wikimedia.org/wiki/Special:FilePath/Back%20River%20(July%202006).jpg,,https://commons.wikimedia.org/wiki/Special:FilePath/Back%20River%20(July%202006).jpg,,,TRUE,TRUE,Back River (July 2006),200,VERIFIED_COMMONS_PAGE,Wikimedia Commons / Own work on Commons / Wikimedia Commons (free-license or public-domain file; see file page)
Waterway,galleryImages,back-river-waterway,Back River,,https://commons.wikimedia.org/wiki/Special:FilePath/Back%20River%20Hayes%20River%20confluence.jpg,,https://commons.wikimedia.org/wiki/Special:FilePath/Back%20River%20Hayes%20River%20confluence.jpg,,,FALSE,FALSE,Confluence view for geographic context,200,VERIFIED_COMMONS_PAGE,Wikimedia Commons / Own work on Commons / Wikimedia Commons (free-license or public-domain file; see file page)
Waterway,galleryImages,back-river-waterway,Back River,,https://commons.wikimedia.org/wiki/Special:FilePath/Garry%20Lake%20in%20August%202006.jpg,,https://commons.wikimedia.org/wiki/Special:FilePath/Garry%20Lake%20in%20August%202006.jpg,,,FALSE,FALSE,Upper-system landscape context,200,VERIFIED_COMMONS_SEARCH,Wikimedia Commons / Own work on Commons / Wikimedia Commons (free-license or public-domain file; see file page)
Waterway,galleryImages,back-river-waterway,Back River,,https://commons.wikimedia.org/wiki/Special:FilePath/Head%20of%20the%20Back%20River's%20Escape%20Rapids%20in%20August%202006.jpg,,https://commons.wikimedia.org/wiki/Special:FilePath/Head%20of%20the%20Back%20River's%20Escape%20Rapids%20in%20August%202006.jpg,,,FALSE,FALSE,Strong rapids view on the Back River,200,VERIFIED_COMMONS_PAGE,Wikimedia Commons / Own work on Commons / Wikimedia Commons (free-license or public-domain file; see file page)
Waterway,imageUrl,baffin-bay-waterway,Baffin Bay,,https://commons.wikimedia.org/wiki/Special:FilePath/Buiobuione%20-%20Disko%20Bay%20Greenland%20Panorama.jpg,,https://commons.wikimedia.org/wiki/Special:FilePath/Buiobuione%20-%20Disko%20Bay%20Greenland%20Panorama.jpg,,,TRUE,TRUE,Buiobuione - Disko Bay Greenland Panorama,200,VERIFIED_COMMONS_PAGE,Wikimedia Commons / Own work on Commons / Wikimedia Commons (free-license or public-domain file; see file page)
Waterway,galleryImages,baffin-bay-waterway,Baffin Bay,,https://commons.wikimedia.org/wiki/Special:FilePath/A%20voyage%20to%20the%20arctic%20in%20the%20whaler%20Aurora%20(1911)%20(14780960491).jpg,,https://commons.wikimedia.org/wiki/Special:FilePath/A%20voyage%20to%20the%20arctic%20in%20the%20whaler%20Aurora%20(1911)%20(14780960491).jpg,,,FALSE,FALSE,Historic Arctic navigation context,200,VERIFIED_COMMONS_SEARCH,Wikimedia Commons / Historical book plate via Commons / Wikimedia Commons (free-license or public-domain file; see file page)
