id,name,waterwayName,video_url_1,video_url_2,video_url_3,video_url_4,video_url_5
cmlhcpxp60023m2a3nk6v0ile,Bas-de-la-Rivière (Fort Alexander),Lake Winnipeg,https://www.youtube.com/watch?v=IAuy6f3pXao,https://www.youtube.com/watch?v=XBvFWM3gG9Q,https://www.youtube.com/watch?v=uMz-6NVdv48,,
cmligbl0s002em20zgl2s057e,Batoche,Saskatchewan River,https://www.youtube.com/watch?v=8j0BhSBuX3c,https://www.youtube.com/watch?v=69vHH1jLv8E,,,
cmlhci09b001lm2rxun86l1q7,Bligh Island (Nootka Sound),Nootka Sound,https://www.youtube.com/watch?v=UXk34b3FLVo,https://www.youtube.com/watch?v=1vF2Xi9rrCw,,,
bloody_falls_location,Bloody Falls,Coppermine River,https://www.youtube.com/watch?v=8l7CN6OKGFM,https://www.youtube.com/watch?v=P9hf316YQzA,,,
cmlhci08p0017m2rxhlfgplt0,Cape Bonavista,Bonavista Bay,https://www.youtube.com/watch?v=6cm5_VAKBDE,https://www.youtube.com/watch?v=QgFQpGdZIvw,,,
cmlhci08s0019m2rx3b2ipe6i,Cartier's Cross at Gaspé,Gaspé Bay,https://www.youtube.com/watch?v=aXZkwrI3V10,https://www.youtube.com/watch?v=sgq1IemyXGU,,,
cmlk1ohsy0005m2atetkkpn26,Chaudière Portage,Ottawa River,https://www.youtube.com/playlist?list=PLD4PE9YEvD_jrUTIsfK6KAMeiVAFv2q15,https://www.youtube.com/watch?v=gD3ukCNErOg,,,
cmlhci09p001tm2rx1oek684y,Columbia River Mouth (Chinook Point),Columbia River,https://www.youtube.com/watch?v=A3YcP5Iw5Po,https://www.youtube.com/watch?v=zjDT70Vhvo8,,,
cmlhasls40025m2zh8ceyw7jl,Cumberland House,Saskatchewan River,https://www.youtube.com/watch?v=xxiNvNy5G1w,https://www.youtube.com/watch?v=6aA4vG7zU_w,,,
cmlhci09l001rm2rxtlpntiw8,Desolation Sound,Georgia Strait,https://www.youtube.com/watch?v=p623VQbzijo,https://www.youtube.com/watch?v=1VJbxY_d3Ks,,,
cmlk1oht8000bm2atj8bjogev,Echimamish Portage,Hudson Bay,https://www.youtube.com/watch?v=MG9emfuTQVc,https://www.youtube.com/watch?v=6T_q7Ng6N14,https://www.youtube.com/watch?v=RnvWzeTAN3c,,
cmlhbjrrd0013m2mbr25pwdi0,Fort Albany,Albany River,https://www.youtube.com/watch?v=II00igRTDVE,https://www.youtube.com/watch?v=QcgLDvR32p0,,,
cmlhcpxob001nm2a3t1ddlxuc,Fort Alexandria,Fraser River,https://www.youtube.com/watch?v=CAoDzv33GPs,https://m.youtube.com/watch?v=iK9_rtmCjFc,,,
cmlhcpxoq001vm2a398m9wqo1,Fort Astoria / Fort George,Columbia River,https://www.youtube.com/watch?v=yAO1N1MA6wk,,,,
cmlhcpxnk001bm2a3bv60prh0,Fort Augustus (NWC),Saskatchewan River,https://www.youtube.com/watch?v=FRVSJTuoX5A,https://www.youtube.com/watch?v=lKj_j7c599M,,,
cmlhcpxpi0029m2a36jgoptfh,Fort Battleford,Saskatchewan River,https://www.youtube.com/watch?v=D_y06fRUBC0,https://www.youtube.com/watch?v=G9cG4Sp4b8k,,,
cmlhcpxk40009m2a3ly9irieb,Fort Carlton,Saskatchewan River,https://www.youtube.com/watch?v=mhI4CIakNEo,https://www.youtube.com/watch?v=rnkDoxTlzm0,,,
cmlhasls40027m2zhq13ab7xs,Fort Chipewyan,Lake Athabasca,https://www.youtube.com/watch?v=cF4cy0-k9II,https://www.youtube.com/watch?v=xJHyCwpsjy4,,,
cmlhasls40022m2zhaovlkwt2,Fort Churchill,Hudson Bay,https://www.youtube.com/watch?v=ffnFmqIiCbM,https://www.youtube.com/watch?v=SjA9IDCuaVg,,,
cmlhcpxjt0005m2a3yptljq2u,Fort Churchill (HBC),Churchill River (Saskatchewan),https://www.youtube.com/watch?v=WWxtI1LhH10,https://www.youtube.com/watch?v=1VTtt8M043o,https://www.youtube.com/watch?v=V0KNXy9r4hY,,
cmlhcpxmu000zm2a30yaasx30,Fort Colville,Columbia River,https://m.youtube.com/watch?v=9Hs34RJVG2c,https://www.youtube.com/watch?v=c5oyEpj5D48,,,
cmlhcpxnw001hm2a3vu8g9i5h,Fort Dunvegan,Peace River,https://www.youtube.com/watch?v=MhbGKjRASU4,https://www.youtube.com/watch?v=cr6l-DIjK8g,,,
cmlhasls40026m2zhpi43jsew,Fort Edmonton,Saskatchewan River,https://www.youtube.com/watch?v=H5d4x1Fz4Bk,https://www.youtube.com/watch?v=dP5fYDr68as,https://www.youtube.com/watch?v=wYb3x6uNdnQ,,
cmlhcpxk7000bm2a3aywic3h2,Fort Edmonton (HBC),Saskatchewan River,https://www.youtube.com/watch?v=724EOMCRjhs,https://www.youtube.com/watch?v=1FipsvFkzuM,https://www.youtube.com/watch?v=GuKocrbyV8c,,
cmlhcpxle000nm2a3bogpycqa,Fort Ellice,Assiniboine River,https://www.youtube.com/watch?v=nCvy40TaOjw,https://www.youtube.com/watch?v=1DWu-eSREAs,https://www.youtube.com/watch?v=L8LmrMMdJs0,,
cmlhbjrr5000xm2mbkhf0cqiw,Fort Garry,Lake Winnipeg,https://www.youtube.com/watch?v=IAuy6f3pXao,https://www.youtube.com/watch?v=XBvFWM3gG9Q,https://www.youtube.com/watch?v=uMz-6NVdv48,,
cmlhcpxl6000jm2a3g5tcl5vu,Fort Garry (Upper),Red River,https://www.youtube.com/watch?v=t2xv32PwOTw,https://www.youtube.com/watch?v=D5sC5-zm4to,https://www.youtube.com/watch?v=5JRMcLqSBMg,,
cmlhcpxo4001lm2a3bv6j547w,Fort George (NWC - BC),Fraser River,https://www.youtube.com/watch?v=rtcg-jdnoAg,https://www.youtube.com/watch?v=p_IWBl1PLL4,https://www.youtube.com/watch?v=5d-gLMIaSzU,,
cmlhcpxno001dm2a3gc40a1u2,Fort George (NWC - Saskatchewan),Saskatchewan River,https://www.youtube.com/watch?v=724EOMCRjhs,https://www.youtube.com/watch?v=1FipsvFkzuM,https://www.youtube.com/watch?v=GuKocrbyV8c,,
cmlhcpxot001xm2a3nzh39xs0,Fort Gibraltar,Red River,https://www.youtube.com/watch?v=MBLjBifHeaQ,https://www.youtube.com/watch?v=mNpQrPTXoT4,https://www.youtube.com/watch?v=crIdsGRpVu4,,
cmlhasls40028m2zh4aji898k,Fort Good Hope,Mackenzie River,https://www.youtube.com/watch?v=CzNhDeHDX4s,https://www.youtube.com/watch?v=bs642u-lldM,https://www.youtube.com/watch?v=Owoz7DsF5mU,,
